"ID","Usuario","Ubicacion","Contribuciones","Titulo","Fecha_Visita","Tipo_Visita","Fecha_Escrita","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Restaurante","Texto_Resena"
66,"AnitaWall","",259,"Donde dije digo, digo Diego","abr 2018","Amigos","2018-05-10","Negativo","Pan, cerveza","Comida aceptable","Cobro de pan no solicitado en cesta, 2 errores de 5 platos en comanda, pesadez del servicio insistiendo cada 10 min para pedir más bebida","No","Igual que en octubre escribí una opinión sobre las buenas sensaciones del local esta vez tengo que escribir todo lo contrario... Lo que no tiene un pase es el servicio. Primero que te sirvan cosas que no has pedido, tales como el pan... errores de comanda... presión para consumir..."
67,"Javiortiz2","Madrid, España",2,"Perfecto para ir con tu pareja","abr 2018","Parejas","2018-04-03","Positivo","Croquetas, raviolis, tataki","Decoración bonita, ambiente agradable, tapas frías y calientes riquísimas","","No","Lugar de tapeo muy agradable, muy chula la decoración. Riquísimas tanto las tapas frías como calientes. En especial recomiendo las croquetas, los raviolis y el tataki. Deseando volver!!"
68,"Rosa R","Madrid, España",23,"Sitio agradable","mar 2018","Amigos","2018-03-22","Positivo","","Comida muy buena, atención fabulosa, sitio agradable","Local muy pequeño y agobiante cuando se llena","No","Me lo recomendó una amiga y en el último mes ya he estado dos veces. La verdad es que es un sitio agradable, la comida está muy buena y la atención fabulosa. Si tengo que decir algo negativo, es que el local es muy pequeño, y si esta lleno es un poco agobiante."
69,"Lucía J","",2,"Fantástico para cenar con amigos","mar 2018","Amigos","2018-03-10","Positivo","Tapas, carta de vinos","Gran variedad de tapas, buena carta de vinos, ambiente excelente, trato genial","Siempre lleno (requiere llegar pronto)","No","Gran variedad de tapas y carta de vinos, muy buen ambiente... pero lo mejor el trato de los camareros, repetiremos sin duda!! (advertencia: id pronto, siempre está lleno!!)"
70,"A F","",7,"Fantastico como siempre","mar 2018","En familia","2018-03-10","Positivo","","Excelente cocina, excelente servicio, atención impecable","","No","Hemos venido de celebración y salimos tan satisfechos como siempre. Excelente cocina, excelente servicio y excelente atención"
71,"roberto o","",1,"Mejor sitio tapeo de Pozuelo","mar 2018","","2018-03-05","Positivo","Kimuchi, ravioli, sardina","Tapas elaboradas y originales, tamaño acorde al precio, cocina visible que transmite confianza, precio competitivo","","No","Hacía falta en pozuelo un sitio con buenas tapas, elaboradas y originales. Con 4 tapas puedes cenar perfectamente y ninguna te deja indiferente... El kimuchi y ravioli obligatorio pedirlo, y la sardina muy recomendable. Las cocina visible me da tranquilidad..."
72,"Carlos O","Madrid, España",1,"Imprescindible en Pozuelo","mar 2018","Amigos","2018-03-05","Positivo","Tapas frías y calientes","Relación calidad-precio muy buena, gran variedad, servicio excepcional","Siempre a tope en fines de semana","No","Hacía falta un sitio así en Pozuelo: la relación calidad-precio de la carta es muy buena, cuenta con una gran variedad de tapas frías y calientes, y el servicio es excepcional. Conviene llegar pronto porque siempre está a tope..."
73,"Gonzalo G","Madrid, España",199,"Buenas tapas y agradable sitio","dic 2018","Amigos","2019-01-01","Positivo","Tapas, cañas","Buen servicio, variedad y calidad de elaboración, sitio agradable","Precio algo caro, todo mesas altas no recomendables para niños","Sí","Fuimos a tomar unas tapas y unas cañas. Agradable sitio con muy buen servicio. Variedad de tapas de muy buena elaboración y calidad. Precio algo caro, pero merece la pena. Todo mesas altas. No recomendable para ir con niños."
74,"carlos n","Hoznayo, España",6,"Qué gran Roca!","dic 2018","Amigos","2018-12-09","Positivo","Raciones","Raciones originales, muy buena materia prima y elaboración, servicio muy atento, buena calidad-precio","","Sí","Raciones originales, muy buena elaboración, muy buena materia prima, servicio muy atento y agradable. Buena relación calidad-precio. Nos veremos mucho por aquí, muchas gracias"
75,"Cristina","",14,"Espectacular","oct 2018","En familia","2018-11-17","Positivo","","Comida espectacular que siempre sorprende, trato de camareros inmejorable","","Sí","De lo mejor que hay en Pozuelo, la comida espectacular, pidas lo que pidas siempre sorprende. El trato de los camareros inmejorable, sin duda un lugar que recomiendo 100%."
76,"Charo V","Comunidad de Madrid, España",49,"Pequeño pero matón","nov 2018","Amigos","2018-11-13","Positivo","Tapas","Personal muy profesional, cocina a la vista, carta sorprendente con nivel de restaurante de mantel","Local discreto y pequeño","Sí","A veces se cumple aquello de que la buena esencia va en envase pequeño: pues aquí una muestra. Un local discreto pero muy cuidado, con personal muy profesional, cocina a la vista y carta sorprendente. Ideal para una comida informal y de picoteo..."
77,"Alvaro C","",2,"De lo mejor de Pozuelo","nov 2018","Amigos","2018-11-08","Positivo","","Comida espectacular, trato muy bueno, precio ajustado a la calidad","Local pequeño","Sí","Local pequeño pero muy cuidado, la comida es espectacular y el trato muy bueno. El precio se ajusta a la calidad que ofrecen. Muy muy recomendable!"
78,"sgfernandez1994","Madrid, España",1,"Todo perfecto","oct 2018","En familia","2018-10-20","Positivo","Tapas","Tapas deliciosas, trato excelente de camareros, puntuación 10","","Sí","Todo de 10. Desde las tapas, todas deliciosas, hasta el trato de los camareros. Recomendable sin ninguna duda"
79,"Mercedes972","Madrid, España",690,"Raciones y tapas ricas y originales","oct 2018","Amigos","2018-10-17","Positivo","Tapas y raciones","Buena materia prima, toques originales, personal atento y profesional, buena relación calidad-precio","Local pequeño de mesas altas","Sí","Local pequeño de mesas altas.Personal atento y profesional. Tapas y raciones muy bien cocinadas, ricas y con buena materia prima. Originalidad en algunos platos. Buena relación calidad precio."
80,"Luz R","",1,"Los mejores sin duda","oct 2018","Parejas","2018-10-13","Positivo","Platos fríos y calientes","Excelente trato, comida riquísima, variedad","","Sí","Excelente trato, comida riquísima, variedad de platos tanto fríos como calientes. Muy recomendable, volveremos seguro!!!"
81,"lbm29","Madrid, España",13,"Muy buen servicio y raciones de calidad","oct 2018","Parejas","2018-10-11","Positivo","Raciones","Servicio muy profesional, platos cuidados y elaborados","","Sí","Lo mejor de la zona. Servicio muy profesional. Platos elaborados y muy cuidados. Ha sido un descubrimiento."
82,"Enrique d","",36,"Increíblemente bueno","oct 2018","","2018-10-04","Positivo","Tartar, navajas, chuletillas, tabla de quesos","Calidad buenísima en todos los platos y postres","","Sí","Pedimos para compartir, tartar, navajas y chuletillas todo buenísimo. De postre una tabla de queso muy Buenos y variados. Seguro que repetimos."
83,"sete c","Madrid, España",37,"Buena calidad, precio y servicio","oct 2018","Parejas","2018-10-03","Positivo","Parrilla","Parrilla bien ejecutada, producto muy fresco, servicio atento y rápido, precio adecuado","","Sí","Restaurante bueno en el manejo de la parrilla, producto muy fresco, un gran servicio, atento, cordial y rápido y un precio muy adecuado. Volvemos y repetimos sin duda."
84,"Ainhoa B","Madrid, España",30,"Mejor opción en Pozuelo","sept 2018","En familia","2018-09-13","Positivo","Postres caseros, platos fuera de carta","Amabilidad, materia prima excelente con toque sofisticado, gran variedad fuera de carta","","Sí","Tanto por la amabilidad, como por la comida con buena materia prima y un toque sofisticado es si no la mejor una de las mejores opciones de Madrid. Muchísimos platos fuera de carta. Postres caseros!!"
85,"Jesus M","Madrid, España",25,"caro y escaso","sept 2018","Parejas","2018-09-09","Negativo","","Servicio bueno","Caro y raciones escasas, decepcionante frente a expectativas","Sí","fui llamado por las buenas opiniones que había leído y la verdad, decepcionante, caro y escaso. no lo recomiendo aunq el servicio es bueno"
86,"Carla dv","Madrid, España",72,"Excelente","sept 2018","En familia","2018-09-02","Positivo","","Servicio atento y rápido, comida exquisita y recetas originales","","Sí","Servicio muy atento y rápido. La comida exquisita e incluso original, tiene algunos platos distintos a lo habitual que son exquisitos. Me encantó y repetiremos segurísimo!"
87,"Martaotero","Madrid, España",54,"Lo más especial q hay hoy en pozuelo","ago 2018","Solo","2018-08-02","Positivo","Salmorejo, chuletitas de cordero a la brasa, carta de vinos","Menú del día con variedad y mimo, precio asequible, buena bodega","No tienen café","Sí","Pare a comer menú del día y flipe con la variedad (no solo del menú sino tb de la carta) y flipé con el mimo, la calidad y lo especial de todos sus platos. Salmorejo buenísimo y chuletitas de cordero a la brasa especiales: Menú de 10!... No pongo la quinta estrella por no tener café"
88,"Mayte G","Madrid, España",5,"Ya no hay menú del día 😔","abr 2019","Amigos","2019-05-07","Negativo","Plato del día","","Eliminación del menú del día completo, sustituido por plato del día con solo 2 opciones","Sí","Nos encantaba ir a comer allí antes de la reforma, porque había menú del día con varios primeros y varios segundos y todo súper rico. Después de la reforma han eliminado el menú del día... solo tienen el plato del día (con solo dos opciones) que dista mucho de ser un menú."
89,"Comorl","",8,"PORQUE NO PONEN APERITIVO ??","may 2019","Parejas","2019-05-01","Negativo","Patatas bravas, croquetas, cerveza","","Sin aperitivo con la cerveza, raciones ridículas (7 patatas, 3 croquetas canica por 8€), caro (15.20€ por 2 cervezas y 2 tapas escasas)","Sí","El UNICO en Pozuelo donde pidiendo 2 cervezas no ponen aperitivo, insólito, el precio del tapeo elevado y cantidad muy escasa... 7 patatas bravas y 3 croquetas del tamaño de una canica... 8.- euros mas las cervezas 15,20.- eu."
90,"Mikiwar","Las Rozas, España",1,"Impresionante","abr 2019","Parejas","2019-04-16","Positivo","","Cocina de primer nivel, atención y servicio impresionante, local acogedor","","Sí","Por fin cocina de primer nivel en Pozuelo. Excelente servicio y atención impresionante. Lugar súper acogedor. 100% recomendable."
91,"Gasiopea2015","",26,"NO MERECE LA PENA.","mar 2019","Parejas","2019-04-08","Negativo","Patatas bravas, callos","","Falta de producto de la carta un martes, bravas sin picante y patata cruda/dura, callos sin morcilla/chorizo y sin sabor, caro, incómodo","Sí","Fuimos un Martes a medio día había poca gente. Pedimos cuatro cosas de la carta y justamente no las tenían al final pedimos unas patatas bravas que no tenian nada de picante y la patata dura, unos callos sin morcilla sin chorizo y una ración minúscula sin sabor..."
92,"alvaros263","Madrid, Spain",3,"Excelente restaurante, comida gourmet","abr 2019","En familia","2019-04-03","Positivo","Alcachofas, tortilla de Betanzos","Comida gourmet espectacular, servicio rápido y amable, gran labor de Oscar","Local de tamaño reducido","Sí","Hemos ido un par de veces a cenar y otras tantas a la barra. Está todo espectacular, las alcachofas de las mejores que he tomado nunca y la tortilla de Betanzos buenísima. El servicio es muy rápido y amable. Mención especial se merece Oscar..."
93,"M Eugenia Blanco","Madrid, España",8,"Cenamos estupendamente","mar 2019","Amigos","2019-03-30","Positivo","Ensaladilla, tortilla de Betanzos, chupitos","Comida de primera y muy bien elaborada, atención estupenda, invitación a chupito","Local pequeño que se llena rápido","Sí","Fuimos 7 personas para una cena informal sin haber reservado. Nos atendieron estupendamente y todo estaba riquísimo. Probamos la ensaladilla, la tortilla de Betanzos y bastantes cosas más y todo de primera y muy bien elaborado... Ah y, además, nos invitaron a un chupito"
94,"lpalaciosdelacruz","",1,"Inaceptable","mar 2019","Parejas","2019-03-30","Negativo","Vino, patatas de bolsa, pan","Buena materia prima/calidad base","Raciones muy escasas y caras, vino poco servido, aperitivo de patatas quemadas, presión para consumir, cobro del pan no pedido","Sí","Raciones muy escasas y caras. Sirven el vino muy escaso. Tapa de acompañamiento patatas de bolsa, escasas y quemadas. Agobiante presión de camareros para que consumas. Colocan pan sin pedirlo y lo cobran. Buena calidad."
95,"Alex M","",1,"Excelente","mar 2019","En familia","2019-03-20","Positivo","","Comida excelente, sitio muy agradable, amabilidad destacada de Oscar","","Sí","Comida y sitio excelente, muy buena atención y destacar la amabilidad de Oscar! Recomiendo ir a probarlo 100%"
96,"Ebi78","Palma de Mallorca, España",16,"Que poca vergüenza!","mar 2019","En familia","2019-03-19","Negativo","Pacharán (chupitos)","","Cobro abusivo de chupitos de pacharán a 4€ la unidad tras cenar","Sí","Pedimos unos chupitos de pacharan despues de la cena y nos cobraron 4€ por cada uno! Que vergüenza! La primera y la ultima vez!"
97,"Elena Tatiana","",4,"Exquisito","mar 2019","Amigos","2019-03-08","Positivo","","Calidad 100, sabor exquisito, Oscar el encargado es un crack","","Sí","Todo un 100... calidad, sabor, trato... Oscar un crack!!! Ha sido una experiencia inolvidable. Volvemos seguro!!!"
98,"beapadi","Shinjuku, Japón",9,"Restaurante la roca increíble lo mejor de pozuelo","mar 2019","Amigos","2019-03-08","Positivo","Kimuchi, ravioli, carabinero, pancake con dulce de leche, postre chocolate y galleta, vino","Comida increíble, recomendaciones y atención de Oscar de 10, servicio muy pendiente","","Sí","Uno de los mejores restaurantes que he estado en madrid. Kimuchi, ravioli, carabinero, los postres de locos el pancake con helado de dulce de leche... pero lo mejor la atención , oscar un gran anfitrión..."
99,"Lucrecia B","Madrid, España",1,"Fabulosa velada con Julio Javier","mar 2019","Amigos","2019-03-03","Positivo","Torreznos con puré de patatas revolconas","Platos originales, variedad, calidad exquisita","","Sí","Absolutamente recomendable. Variedad y calidad. Todo exquisito y muy original. Los torreznos con puré de patatas revolconas imprescindible pedirlos"
100,"Eladio L","",3,"Decepcionante","feb 2019","Parejas","2019-02-18","Negativo","","","Anulación unilateral de reserva por retraso de 15 minutos, sitio con apreturas y solo mesas altas","Sí","Nos anularon la reserva de forma unilateral por llegar 15 minutos tarde. No insistimos ya que era un sitio muy pequeño y con apreturas, que sólo dispone de mesas altas."
101,"AngelBreuer","Madrid, España",128,"Sin duda, merece la pena","ene 2019","Negocios","2019-02-13","Positivo","Tapas de temporada","Cocina de temporada rica y elaborada, relación calidad-precio excepcional, servicio inmejorable","","Sí","La roca es uno de los grandes desconocidos de Pozuelo de Alarcón... una de las referencias indispensables a la hora de elegir un buen sitio para comer muy bien, con una relación calidad precio excepcional y un servicio inmejorable."
102,"Cristina","",14,"Siempre espectacular","ene 2019","En familia","2019-01-11","Positivo","","Comida buenísima, trato excepcional y regularidad constante","","Sí","Da gusto ir a La Roca, es de lo mejor de Pozuelo, comida y trato excepcional, nunca falla, comas lo que comas todo buenísimo. Ya comenté hace unos meses y cada día que vuelvo es mejor todavía!"
103,"MsHepburn","Madrid, España",145,"Buena comida pero pésimo servicio","oct 2019","","2019-10-11","Negativo","","Comida de gran calidad, camareros de trato amable","Pérdida de comanda, más de 30 min para tomar nota y 40 min para el segundo plato, servicio desatento y sin detalles ante fallos","Sí","Es de esas ocasiones en las que la comida es realmente muy buena pero lo demás falla tanto que ya no te quedan ganas de volver... tardaron más de media hora en tomarnos nota... habían perdido nuestra comanda... No tuvieron ninguna atención."
104,"Raúl C","Madrid, España",302,"Comida rica, espacio y servicio mejorable","sept 2019","","2019-10-11","Mixto","Tartar, tortilla, arroz, raviolis, carne","Comida de mercado rica, bien tratada, precio ajustado para la zona","Servicio desorganizado, la carne era mejorable, local demasiado pequeño e incómodo para familias con carritos de bebé","Sí","Local con comida de mercado, rica, bien tratada y en una cantidad aceptable. Precio ajustado, para ser pozuelo. Tartar, tortilla, arroz y raviolis espectaculares. Carne mejorable. El servicio estaba muy perdido... local muy pequeño para carritos."
105,"Gonzalo F","Madrid, España",27,"Excelente restaurante con servicio perfecto","oct 2019","Parejas","2019-10-09","Positivo","Plato del día, raciones para compartir","Ingredientes de alta calidad, platos creativos pero clásicos, platos del día a 10€ muy completos","","Sí","Altísima calidad de los ingredientes, platos imaginativos, pero con un toque clásico, tiene 4 platos del día los días de semana a unos 10€ con postre y bebida, y unas raciones brutales para compartir, lo recomiendo 100%."
106,"Odyssey783631","",1,"Caro y escaso","sept 2019","Amigos","2019-09-21","Negativo","Tapas","Camareros agradables","Raciones muy escasas y caras, calidad normal, poca variedad, encargado con actitud pesada/chistosa fuera de lugar","Sí","Los camareros muy bien, el encargado se pasa de gracioso. Las raciones escasas y caras. La calidad normal, pocas variaciones en la carta."
107,"Mar","Madrid, España",16,"No cumplió mis expectativas","jul 2019","","2019-09-04","Negativo","","Camareras con buena atención","Comida y trato decepcionantes, maître desatento con los clientes por atender a sus conocidos","Sí","Fui con mucha ilusión, pero ni la comida ni el trato cumplieron mis expectativas. El maître estaba más pendiente de atender a sus amigos que a los clientes. Las camareras salvaron el servicio."
108,"CookieFoodie","Pozuelo de Alarcón, España",1306,"Como siempre, todo perfecto","sept 2019","","2019-09-04","Positivo","Kimuchi, tapas nuevas","Comida deliciosa, carta dinámica con novedades sorprendentes","","Sí","He probado muchos de los platos y tapas y todos me han encantado. Han añadido algunas cosas nuevas y, como siempre, me han sorprendido. Todo está delicioso, aunque para mi el mejor siempre será el kimuchi!"
109,"yulital","",1,"Sorprendida","jul 2019","Amigos","2019-07-20","Positivo","","Concepto de cocina excelente, servicio muy cuidadoso, labor sobresaliente del maître","","Sí","Madre mía, yo estoy sorpredidisima con ciertos comentarios, y bueno he estado en la Roca y me parece de lo mejor que hay en Pozuelo, son cuidadosos en la atención y en concepto de la cocina excelente. Y voy a puntuaiizar que el maitre es uno de los mejores que he visto"
110,"Elena M","Madrid, España",29,"Vaya bajón!!!!","jul 2019","Amigos","2019-07-05","Negativo","Raciones","","Bajada notable de calidad, raciones pobres y mal servicio respecto a etapas anteriores","Sí","No se ha que ha pasado pero mal muy mal! Que pena, ha cambiado mucho! Nada que ver a lo que era hace unos meses. Mal servicio, raciones pobres, calidad regular. Una lástima porque apuntaba bien. La pena"
111,"Carmafu","Madrid, España",852,"Decepción","jul 2019","En familia","2019-07-02","Negativo","Tapas para compartir","Buen sabor y ejecución correcta de las recetas","Tapas con cantidades ridículas (2-3 unidades pequeñas) para mesas de 6 comensales sin previo aviso del personal","Sí","Conocí Lola Restaurante, en Berantevilla, y salí encantada. Esperaba que Alberto Molinero al llegar a Madrid, trajera platos de ese nivel. Buen sabor, buena ejecución pero lamentablemente, raciones míseras en las tapas. Pedimos varias tapas para compartir y no avisaron..."
112,"jacoelto","Madrid, España",254,"Buen tapeo de cocina moderna","jun 2019","","2019-06-23","Positivo","Taco japomejicano de tartar de atún, kimuchi en hoja de shiso, cigala salteada con yema y migas, bombón de rabo con foie, queso Gamoneu, vino","Cocina moderna excelente, recomendaciones acertadas del encargado Óscar, precio razonable (57€/pareja)","Local muy pequeño y caluroso, terraza descuidada por la zona urbana","Sí","Estuvimos este fin de semana en este pequeño restaurante... pedimos por recomendación de Oscar varias tapas... taco japomejicano, kimuchi de marisco en tempura... Para mi lo peor es el local, muy pequeño y caluroso y una terraza exterior muy pobre..."
113,"andyguzz","",3,"Sitio espectacular","jun 2019","Parejas","2019-06-18","Positivo","Raciones y platos de mercado","Cocina de mercado de altísima calidad en recetas sencillas y complejas, inmejorable calidad-precio","","Sí","Lo encontramos paseando por la zona... supero con creces. Es perfecto para tomar raciones o cenar. Sobre todo lo que podemos decir es que todo lo que tienen es de calidad... Calidad - precio inmejorable."
114,"Gastroguru","Madrid, España",23,"Menos de lo esperado","jun 2019","Amigos","2019-06-17","Mixto","Bombones de foie, chipirones plancha, alcachofas, postres","Bombones de foie y chipirones exquisitos","Nivel culinario desigual (alcachofas y postres flojos), servicio desbordado con pocos camareros en fin de semana","Sí","Comida desigual . Algunos platos exquisitos como los bombones de foie y los chipirones plancha . Otros no tanto , como las alcachofas y los postres . El servicio un poco descontrolado . Pocos camareros para tanta gente un viernes noche"
115,"Ma A","",12,"Buenísimo","may 2019","En familia","2019-06-03","Positivo","","Comida muy rica, atención excelente, de lo mejor de la avenida Europa","","Sí","Todo muy rico y la atención es excelente! Es de los mejores restaurantes de la avenida de europa. Volveremos!"
116,"CookieFoodie","Pozuelo de Alarcón, España",1306,"Espectacular","may 2019","","2019-05-30","Positivo","","Cocina de mercado creativa y sabrosa, ambiente acogedor, servicio estupendo","","Sí","Hacía tiempo que no iba y la verdad es que, una vez más, quede encantada. La comida es original y está buenísima, y el servicio es estupendo. Ambiente acogedor y cocina de mercado con un punto creativo. Para mi, de lo mejor de pozuelo!"
117,"Miguel J","Miami, Florida",10,"El mejor sitio de Pozuelo","may 2019","","2019-05-10","Positivo","","Comida excelente, precio adecuado, trato y atención perfecta por parte de Oscar","","Sí","El mejor sitio de Pozuelo y probablemente de Madrid. Comida excelente, buen precio y mejor trato!! Oscar hace que la experiencia sea perfecto!!! Muy muy recomendable."
118,"Nacho Q","Madrid, España",49,"Impresionante. De lo mejor","dic 2020","Parejas","2020-12-18","Positivo","Marisco, tapas elaboradas","Platos elaborados, marisco fresco de calidad","","Sí","Impresionante. De lo mejor en Pozuelo. Buen marisco y platos elaborados y deliciosos. Muy recomendable"
119,"Javier P","Madrid, España",67,"Estamos en Madrid","nov 2020","Parejas","2020-11-23","Negativo","Vino Montecillo","","Sin aperitivo alguno de cortesía con la bebida, copa de vino muy escasa y cara (3.10€ por vino básico de 7€/botella)","Sí","Efectivamente y a mucha honra, vivimos en Madrid. Y estamos acostumbrados a que al pedir una consumición de aperitivo, te acompañen con, al menos, una aceituna... En este establecimiento no ponen absolutamente nada... el vino escaso cuesta 3,10€"
120,"Leonor A","Madrid, España",6,"Impresionante!","nov 2020","Parejas","2020-11-02","Positivo","Bocadillo de panceta, hamburguesa de angus, platos fuera de carta","Bocadillo y hamburguesa de máximo nivel, amplia y rica oferta fuera de carta","","Sí","Impresionante! Para mi es el mejor de Pozuelo. El bocadillo de panceta es lo más rico que he probado en mi vida, los pedimos siempre de dos en dos....La hamburguesa de angus también es nuestra número 1. Todo está exquisito..."
121,"Nat","Madrid, España",35,"Platos ricos pero escasos y de precio elevado","oct 2020","En familia","2020-10-31","Mixto","Mollete de cochinita pibil, empanadillas criollas, burratina con panceta, tortilla de Betanzos, ensaladilla, torrija caramelizada, cremoso de chocolate","Terraza agradable, camareros amables, mollete y empanadillas muy ricos","Raciones escasas difíciles de compartir, burratina mal combinada, tortilla y ensaladilla sin gracia, torrija enana, precio elevado","Sí","Hemos ido a comer 6 personas en la terraza... A destacar el mollete de cochinita pibil y las empanadillas criollas. La burratina no nos gustó... la tortilla y ensaladilla sin gracia... No volveríamos por su precio elevado teniendo en cuenta el tamaño..."
122,"Patricia J","Madrid, España",75,"¡Excelente!","oct 2020","Parejas","2020-10-25","Positivo","Kimucha, falso risotto de puntalets, tarta de queso con helado de galleta","Recetas muy sabrosas y originales, camareros amables y atentos en todo momento","","Sí","¡Excelente! La comida muy original y muy sabrosa. Difícil escoger entre su carta. Mi top 3: la Kimucha, el falso risotto de Puntalets y la Tara de queso con helado de galleta ¡alucinante!) Además, el servicio y los camareros siempre atentos."
123,"IMP","Pozuelo de Alarcón, España",10,"Malísima experiencia en Viva by la Roca","sept 2020","Amigos","2020-09-21","Negativo","Tacos","","Cobro individual multiplicado por comensal al pedir unidades para compartir, discusión de 15 min y despedida agresiva ('no volváis nunca más') del gerente","Sí","Mi experiencia yendo a cenar con un grupo de amigos a Viva by la Roca... les dijimos que queríamos cinco tacos y nos cobraron la tapa 5 veces... el gerente tras 15 minutos nos dio la razón pero se despidió con un 'no volváis nunca más'..."
124,"Luis D","Madrid, España",2,"Decepcionante","feb 2020","","2020-02-25","Negativo","","","Comida muy normal y servicio pésimo con actitud antipática hacia el cliente","Sí","Cuando voy a un Restaurante valoro la comida y el servicio / amabilidad por igual. Pues la comida muy normal pero el servicio pésimo. No volveré Parece que es lo que buscan ... QUE NO VUELVAS."
125,"jose maria P","",1,"Nunca volveré","feb 2020","Amigos","2020-02-22","Negativo","","","Caro, mal servicio en sala y pésima gestión y trato del encargado","Sí","De lo peor que he conocido, caro, mal atendido y el encargado para que se dedique a otra cosa, un auténtico patan"
126,"Soyo","",40,"Raciones escasas con buena materia prima","feb 2020","Amigos","2020-02-12","Mixto","Torreznos con patatas revolconas, solomillo, tortilla, chipirones con huevo","Buena materia prima, servicio atento, tortilla y chipirones muy ricos","Raciones insuficientes para el precio (6 trozos de torrezno por 9€, solomillo diminuto por 22€)","Sí","Aunque la materia prima es buena y el servicio es atento, el tamaño de las raciones es insuficiente para su precio. Tomamos torreznos (9€), que eran 6 trozos... y solomillo (22€) de un tamaño muy pequeño..."
127,"Jose_llg","Madrid, España",59,"Muy, muy bueno!!","feb 2020","Parejas","2020-02-07","Positivo","Platos del día, entrantes de carta","Calidad excelente en fórmula de plato único + postre y bebida, presentación cuidada, limpieza impoluta de mesas y cristalería, servicio profesional","No apto para personas que busquen platos hiperabundantes","Sí","Hace poco conocí el restaurante por un compañero... Me quedé sorprendido con la calidad y buena presentación del plato único... Hay detalles como la transparencia de las copas, la limpieza de tu mesa, los cubiertos, la presentación del plato..."
128,"Mónica González","",4,"Muy muy recomendable!!!!!!","dic 2019","En familia","2019-12-28","Positivo","Hamburguesa de buey","Comida de gran calidad, camareros atentos y serviciales","","Sí","Comida de muchísima calidad y camareros súper atentos! da gusto con restaurantes así! Pedir la hamburguesa de buey seguro!!!"
129,"ruben m","Madrid, España",9,"Grata sorpresa","nov 2019","En familia","2019-11-02","Positivo","","Gran calidad de producto, buen trato y precio razonable","Pequeños fallos menores sin importancia","Sí","Gran calidad de producto y buen trato. Algún fallo no demasiado importante y un precio más que razonable"
130,"Esther","",6,"Si te gusta la carne y los platos originales","oct 2019","","2019-10-26","Positivo","Carnes variadas","Carne deliciosa, platos originales, personal encantador y buen precio","Necesario reservar con antelación","Sí","Todo muy rico especialmente la carne y a muy buen precio , es muy acogedor y son encantadores , es importante reservar"
131,"javneko","Madrid, España",3,"No falla","oct 2019","Amigos","2019-10-18","Positivo","Platos fuera de carta","Comida muy rica, propuestas fuera de carta de nivel, atención excelente del encargado Óscar","","Sí","La comida muy rica y bien preparada...no hay que perderse los fuera de carta... El servicio muy bien y Óscar siempre atento a todo.. para volver sin dudarlo"
132,"Gonzso","Madrid",35,"Quiero y no puedo","oct 2019","","2019-10-12","Negativo","Patatas bravas, entraña, croquetas, berberechos, torrija, vino, cerveza","Croquetas y berberechos correctos, reposición de la entraña bien hecha","Bravas malas cocidas y con alioli/tomate no picante, entraña servida quemada al inicio, torrija seca tipo bizcocho, vino mediocre, caro (65€ pareja)","Sí","Local moderno con pretensiones. El servicio bastante malo, y la comida desigual. Las patatas bravas eran malas: cocidas y pasadas un minuto por la freidora... Pedimos una entraña (18€) carbonizada... Al ver la cuenta vimos que era una franquicia..."
133,"Raquel","",4,"DECEPCIONANTE.","mar 2022","Amigos","2022-03-26","Negativo","","Platos estéticamente bonitos","Pérdida de reserva previa, espera de 45 min, servicio desordenado y camareros sobrepasados, raciones escasas a precio alto","No","Estuvimos un grupo de amigas cenando y desde el principio fue desastroso. No tenían anotada la reserva que habíamos hecho... El tiempo de espera fue como de 45 minutos, salieron primero los segundos y luego los entrantes... Poca cantidad..."
134,"DELHERJO","Boadilla del Monte, España",710,"Decepcionante en trato y coste","mar 2022","","2022-03-20","Negativo","Mollete de cochinita pibil, bao de panceta, ravioli de rabo, ensalada de vieiras con calamar, ensaladilla con trucha, fideuá con panceta, bocadillo de panceta, vino","Tapas individuales (mollete, bao, ravioli) bien ejecutadas","Ensalada de vieiras insulsa (15.90€), fideuá cara y escasa (33€) servida tarde por falta de botillo, bocadillo olvidado tras 30 min, error en cuenta y respuesta descarada del encargado","No","Aunque la comida sea buena, si el precio/calidad resulta excesivo y se acompaña de una fata de atención notable... ensalada de vieiras insulsa... fideua con retraso y escasa... bocadillo que tuvimos que anular tras media hora... mala respuesta al reclamar error en cuenta."
135,"Jaime S","Madrid, España",11,"Caro y regular","dic 2021","Amigos","2021-12-26","Negativo","Cazuela con huevo, bacon y patatas, cañas, callos","","Precios desorbitados (16.80€ cazuela básica, 4.50€ la cerveza), callos incomibles por exceso de sal, 60€/cabeza por cuatro tapas","Sí","Nada destacable y los precios desorbitados,16,80 euros por una cazuela con un huevo, unas patatas y una loncha de bacon, las cañas a 4,5 la copa Los callos salados como un perro, no había quien los comiera. Salimos a 60 y pico euros por cabeza..."
