"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
362,"Hacelo Kumbia","1 reseña","Hace 1 año","Comida","","Positivo","","Gran atención y servicio impecable para grupos grandes","","No","Gran atención y servicio para con todo nuestro grupo. Excelente experiencia!"
363,"carlos Pino Medina","Local Guide · 36 reseñas · 47 fotos","Hace 7 años","","","Positivo","Tapas, Selección de vinos, Postres, Menú del mediodía","Tapas y vinos de referencia en la zona, buen menú de mediodía, servicio rápido y amable","","No","Sus tapas y su selección de vinos son de lo mejor de la zona la gente que trabaja allí son muy amables y enseguida te asesoran servicio rápido y buenos postres también disponen de un menú especial para al mediodía"
364,"Nancy Caminos","2 reseñas","Hace 4 años","","","Positivo","Alcachofa sobre parmentier y rabo de toro, Hamburguesa de angus, Cecina, Financier de harina de almendras","Platos de gran calidad y postres artesanales muy originales","","Sí","Un restaurante para recomendar La Roca, he cenado platos como la alcachofa sobre parmentier y rabo de toro, hamburguesa de angus, cecina exquisita y como broche de oro un postre muy original, el financier..."
365,"María Victoria Martín Morales","Local Guide · 60 reseñas · 3 fotos","Hace 7 años","","","Negativo","Tapas","","Tapas minúsculas (20€ y salida con hambre), camarero saturado y confuso con dos errores de bebidas","No","Muy caro. Los platos/tapas son exageradamente pequeños, al final pagas 20€ por cenar y sales con hambre. El trato regular, me imagino que estarían saturados, pero se equivocó el camarero con las bebidas en 2 ocasiones. No volveré."
366,"Cristina Garcia","Local Guide · 16 reseñas","Hace 5 años","","","Positivo","","Cocina elaborada con producto de primera calidad, servicio atento y dulce","","Sí","Un sitio estupendo, con una carta maravillosa, cocina elaborada con producto de primera calidad. El servicio no puede ser más atento y agradable."
367,"Alvaro Lopez","3 reseñas","Hace 3 meses","Comida","40-50 €","Positivo","","Atención genial y amable de Jessica","","No","Jessica nos atendió genial"
368,"Carlos Cuadrado Salom","7 reseñas · 1 foto","Hace 1 año","","","Positivo","Platos recomendados","Servicio excelente y camareros muy acertados con los platos recomendados","","No","Un servicio excelente, y los camareros muy atentos y muy acertados con las recomendaciones."
369,"Jorge M","Local Guide · 598 reseñas · 847 fotos","Hace 2 años","Comida","40-50 €","Mixto","Entrantes, Patatas fritas en gajo","Entrantes muy ricos y recomendables","Patatas fritas en gajo con sabor a recalentadas / no recién hechas","No","Muy bueno, únicamente las patatas fritas 'en gajo' no parecen muy... no se, no están recién hechas y se nota. Los entrantes muy recomendables."
370,"grace villaverde","Local Guide · 35 reseñas · 1 foto","Hace 2 años","","","Negativo","Pulpo a la brasa","","Platos servidos completamente fríos; pulpo recalentado y durísimo","No","Llegaron todos los platos frios. Lo peor el pulpo, llego muy frio. Luego lo trajeron recalentado y por supuesto duro... Primera y última vez..."
371,"Ignacio Soto","7 reseñas","Hace 1 año","Comida","40-50 €","Positivo","Menú comida de empresa","Atención y comida buenísimas para eventos y comidas de empresa","","Sí","Comida y atencion buenísima. Tuvimos la comida de empresa y nos trataron muy bien. Volveremos"
372,"Raul Gomez Diaz","2 reseñas","Hace 3 años","","","Positivo","","Comida excelente y trato agradable","","No","Maravilloso restaurante. Comida excelente y un trato estupendo! Repetiremos para probar más cosas."
373,"María Vargas-Zúñiga","Local Guide · 20 reseñas · 9 fotos","Hace 6 años","","","Positivo","Croquetas, Hamburguesa","Croquetas riquísimas, hamburguesa increíble, local acogedor y trato amable","","Sí","Fui con unas amigas y comimos fenomenal, las croquetas riquísimas y la hamburguesa increíble. Es un sitio acogedor y el personal súper amable. Nos encantó!"
374,"Iñigo de Ocio","5 reseñas","Hace 2 años","","","Positivo","","Comida espectacular y trato fenomenal de Ney","","No","Comida espectacular y gran servicio. Ney nos trató fenomenal."
375,"Claugoonzagome González Gómez","Local Guide · 18 reseñas","Hace 1 año","Cena","30-40 €","Positivo","","Comida de 10 y servicio impecable de Ney","","No","Nos atendió Ney, y salimos encantados. Servicio impecable, y comida de 10 Repetimos sin duda"
376,"Marta Corral","Local Guide · 52 reseñas · 4 fotos","Hace 7 años","","","Negativo","Platos recomendados","Elaboración técnica aparente","Falta de sabor en boca frente a la promesa sofisticada; maître presionando con sugerencias caras para engordar la factura","No","La cocina no es tan sofisticada como promete... tal vez en la elaboración, no tanto en el sabor. Lo peor del sitio, el trato del maitre que ofrece recomendaciones para hinchar la cuenta sin ningún tipo de vergüenza."
377,"Sara Lubelli","Local Guide · 58 reseñas · 3 fotos","Hace 2 años","Comida","","Positivo","Raciones","Comida riquísima, raciones con cantidades justas y equilibradas, personal muy atento","","No","Comida riquísima y las cantidades son adecuadas por ración. El personal es muy atento y amable. Buenísima elección."
378,"Beatriz Manzano","Local Guide · 283 reseñas · 17 fotos","Hace 4 años","","","Positivo","","Platos de 10 sin fallos; servicio impecable del chico del moño y el señor canoso","","No","Increible. Todos los platos que pedimos estaban de 10, ninguna pega. El servicio del chico del moño y el señor canoso fue impecable. Lo mejor de Pozuelo."
379,"Manuel Sánchez","7 reseñas","Hace 1 año","","","Positivo","","Comida, ambiente y servicio de 10","","No","Sitio excelente en cuanto. Tanto comida como ambiente y servicio de 10."
380,"Juanjo H","Local Guide · 24 reseñas","Hace 11 meses","","","Negativo","","","Servicio desatendido e indolente con cuatro camareros desocupados sin atender sala","No","Una lastima el servicio, no hay n8bun cliente, y 4 camareros que ni atienden... solía venir de vez en cuando, la última vez."
381,"Juan Antonio Torres Leal","6 reseñas · 2 fotos","Hace 8 años","","","Positivo","Huevo a baja temperatura, Mejillones a la brasa, Croquetas","Comida espectacular pidas lo que pidas, entrantes sobresalientes","","No","Un lugar, que merece la pena... La comida está espectacular...da igual lo que pidas...es muy destacable... El huevo a baja temperatura, los mejillones a la brasa, las croquetas..."
382,"Monica Bravo Gonzalez","Local Guide · 101 reseñas · 107 fotos","Hace 8 años","","","Positivo","Tapas de autor, Vino","Tapas de autor ricas y diferentes, buena selección vinícola","Local pequeño con pocas mesas","No","Tapas de autor elaboradas, ricas y diferentes. El local es un poco pequeño que no cuenta con muchas mesas. Es una buena opción para ir a tomar un vino y algunas tapas."
383,"Maria Alvarez de Pablo","4 reseñas","Hace 4 años","","","Positivo","","Presentación y platos cuidados al detalle, ambiente agradable, personal atento","","No","Ambiente muy agradable y la comida espectacular . Platos y presentación cuidadas al detalle. Personal atento. Repetiremos sin duda"
384,"Almudena del Rosal","8 reseñas · 2 fotos","Hace 4 años","","","Positivo","Platos y postres","Comida y servicio calificados con 9-10, atención constante sin tiempos muertos de espera","","Sí","Todos los platos desde los entrantes hasta el postre se podrian valorar con un 9 o 10,la misma pu tuacion le daria al servicio.Además rápidez en el servicio y ,sobre todo, estuvieron todo el tiempo pendientes de nuestra mesa..."
385,"Sil Santi","Local Guide · 32 reseñas · 11 fotos","Hace 3 años","Comida","10-20 €","Positivo","","Todo riquísimo y camareros con trato genial","","No","Fuimos por recomendación y la verdad que valió la pena!.Todo súper rico y el trato de los camareros, genial!!. Seguro volveremos!!. Gracias!!"
386,"Juan José Cascales","5 reseñas","Hace 1 año","Comida","40-50 €","Positivo","","Comida agradable de calidad media-alta","","No","Una comida agradable y de calidad media alta. Seguro que volvemos. Gracias"
387,"Isabel Torrent","Local Guide · 41 reseñas · 1 foto","Hace 7 años","","","Positivo","","Buen ambiente, comida muy rica y servicio atento","","No","Buen ambiente ,muy buena comida y atención . Ya hemos repetido varias veces y volvemos a ir."
388,"Pablo R","Local Guide · 33 reseñas","Hace 5 años","","","Positivo","Bombones de foie","Carta sorprendente y platos deliciosos, bombones de foie excepcionales","","No","Sitio muy agradable y con muy buena comida. Siempre tiene cosas que sorprende. Los bombones de foie una pasada por ejemplo, pero tienen mucho más. Muy recomendable."
389,"Javier Alegre Pazos","Local Guide · 52 reseñas · 1 foto","Hace 7 años","","","Mixto","Tapas, Postres","Tapas muy bien elaboradas y postres deliciosos","Local pequeño; amabilidad del personal mejorable","Sí","Es una pena que no sea más grande el sitio. Las tapas están fenomenal, los platos ricos y los postres sabrosos. Algo para mejorar la amabilidad del personal."
390,"Nino","Local Guide · 74 reseñas · 8 fotos","Hace 2 años","","","Positivo","Tartar de atún","Personal muy amable, tartar de atún increíble","","No","Restaurante súper recomendable. Personal muy amable. La comida increíble, sobretodo el tartar de atún. Repetiremos."
391,"Miguel García Centenera","Local Guide · 14 reseñas","Hace 3 años","Cena","40-50 €","Positivo","","Comida muy buena, cantidades adecuadas, servicio atento en todo momento","","No","Excelente servicio, muy atentos en todo momento. La comida muy buena, y las cantidades apropiadas. Volveremos seguro"
392,"Iñaki Ramírez","Local Guide · 103 reseñas · 22 fotos","Hace 4 años","","","Positivo","Tapas individuales, Platillos para compartir, Plato del día, Postres","Versatilidad de formatos de comida y postres riquísimos, servicio excelente","","Sí","Se come muy bien y el servicio excelente. Opciones de tapas individuales, platillos para compartir, plato del día con opción menú, postres deliciosos..."
393,"gregory hanemian","Local Guide · 68 reseñas · 5 fotos","Hace 3 años","Comida","","Mixto","Hamburguesa con patatas","Hamburguesa correcta","Calidad-precio muy normalita; precio inflado a 18€ por añadir suplemento de patatas","No","Comí allí Muy normalito calidad precio. Una hamburguesa sin más que a lo tonto se te va a 18€ con el extra de patatas…"
394,"Juliana Gualdron","4 reseñas · 1 foto","Hace 1 año","Comida","30-40 €","Positivo","","Comida increíble y atención pedagógica y amable de Ney","","Sí","Ney nos atendió increíble fue muy amable nos explicó todo muy bien. La comida increíble"
395,"ESV","Local Guide · 113 reseñas","Hace 5 años","","","Mixto","","Comida rica y de calidad comprobada","Precio elevado comparado con otros restaurantes tradicionales de la zona","Sí","Comida rica y de calidad pero algo caro! Respondiendo a la persona del restaurante que me contesta: evidentemente si digo que es caro es porque hay otros restaurantes en Pozuelo donde se come igual de bien y son más baratos..."
396,"Almudena Mulas Lumbreras","Local Guide · 276 reseñas · 180 fotos","Hace 3 años","","","Negativo","","Buen producto base y camareros de mesa amables","Raciones escasas, precios muy caros, trato soberbio y maleducado del dueño","No","La comida está rica, buen producto pero escaso y muy caro, relación calidad precio no merece la pena, hay mejores opciones por la zona, el personal que atiende en las mesas muy amable, el único borde es el dueño que es muy mal educado..."
397,"Rodrigo de Salas","5 reseñas","Hace 2 años","Cena","30-40 €","Positivo","","Sabor gastronómico superior, camareros amables y simpáticos (Candela y Manu)","","No","la comida es buenisima, todo tiene un sabor superior, los camareros muy amables y simpaticos, candela y manu"
398,"lourdes de alarcon","Local Guide · 59 reseñas · 5 fotos","Hace 2 años","Comida","20-30 €","Mixto","Fideuá","Comida sabrosa para grupos numerosos","Fideuá excesivamente salada","No","Nos reunimos 10. Fue improvisado, pero resultó muy bien. Todo muy rico, pero la fidegua estaba un poco salada."
399,"Marta López","Local Guide · 125 reseñas · 169 fotos","Hace 7 años","","","Positivo","Arroz meloso con carabineros, Menú","Arroz meloso con carabineros buenísimo, comida muy sabrosa","Local muy pequeño donde cuesta encontrar mesa","Sí","Tomamos el menú. Arroz meloso con carabineros. Buenísimo. Todo lo que pidas está rico. La única pega es que el local es muy pequeño y cuesta encontrar sitio."
400,"Iris López","6 reseñas","Hace 1 año","","","Positivo","","Comida riquísima y atención fantástica de Ney y todo el equipo","","No","Comida riquísima y atención increíble! Gracias a Ney y todo el equipo :)"
401,"Lourdes de Mena","Local Guide · 31 reseñas · 1 foto","Hace 1 año","","","Positivo","","Comida y experiencia general estupenda","Aire acondicionado demasiado fuerte que generaba sensación de frío","No","El aire acondicionado estaba un poco fuerte y hacia frío, por lo demás estuvo genial"
402,"Ana Municio","Local Guide · 13 reseñas · 82 fotos","Hace 7 años","","","Positivo","Tapas de autor","Tapas originales y fabulosas, atención constante y trato excepcional con niños","","Sí","Nos ha encantado! Las tapas son originales y fabulosas pero lo mejor es que han estado pendientes denpsotros toda la cena. Súper atentos y encantadores sobre todo con los niños"
403,"mercedes vazquez","Local Guide · 123 reseñas · 34 fotos","Hace 7 años","","","Positivo","Tartar de atún con trufa y huevo, Kimuchi, Calamares con huevo, Torrija","Platos icónicos y torrija sobresaliente; gestión impecable de Óscar en sala","","Sí","Uno de mis preferidos . De mención el tartar de atún con trufa y huevo , el kimuchi , los calamares con huevo, la torrija de morirse y podría seguir . Por otro lado Oscar gestiona todo de maravilla . Vale la pena ."
404,"Silycla X","Local Guide · 893 reseñas · 552 fotos","Hace 3 años","Cena","20-30 €","Positivo","","Buena relación calidad-precio, personal muy amable","Recomendable reservar por alta demanda","No","Buena relación calidad precio, buenísimo todo lo q comimos. El personal muy amable , recomiendo reservar."
405,"Rodrigo Cast","1 reseña","Hace 8 años","","","Positivo","","Encuentro de sabores único y local cálido y hogareño","","No","Gracias a Maarzu por enseñarme el sitio. Un deleite para el paladar y un encuentro de sabores teñidos bajo el haz de un cálido y hogareño lugar. De lo mejorcito que jamás he probado."
406,"Coke","3 reseñas","Hace 3 años","","","Positivo","","Comida rica y servicio encantador con camarero de acento argentino muy atento","","No","Nos atendio un camarero muy majo y atento, no recuerdo su nombre pero parecia tener acento argentino. Comida rica y servicio encantador. Volveremos a ir."
407,"Manuel Fernandez","Local Guide · 27 reseñas","Hace 7 años","","","Positivo","Platos y tapas variadas","Ambiente tranquilo, cocina variada y económica, atención de barra volcada en los detalles","","Sí","Un lugar tranquilo para cenar, economico con una cocina variada y excelente, el trato de las personas encargadas del restaurante muy bueno, sobre todo el que esta al cargo de la barra , atento a los pequeños detalles..."
408,"Benito perez pazos","Local Guide · 33 reseñas","Hace 2 años","","","Positivo","","Trato espectacular, comida excelente y a precio justo, servicio de 10 por parte de Ney","","No","Siempre que podemos venimos a visitar la roca , llevo años viniendo y el trato es espectacular, la comida excelente , y en precio , NEY tiene una atención de 10 , en definitiva 5 estrellas más que merecidas …"
409,"Irene Cb","10 reseñas · 2 fotos","Hace 3 años","Comida","30-40 €","Positivo","Platos para compartir","Materia prima de calidad y gran técnica en cocina, ideal para compartir","","No","Apuesta segura para comer bien. Calidad en la materia prima y buena mano en la cocina. Ideal para compartir y probar muchas cosas."
410,"Alvaro Garcia De Robles","Local Guide · 23 reseñas · 2 fotos","Hace 1 año","","","Positivo","","Servicio súper rápido y amable, comida fantástica","","No","Nos encantó la roca. Super recomendable. El servicio super rápido y amables. Repetiremos sin duda !"
411,"Paola Manassi","3 reseñas","Hace 2 años","","","Positivo","","Lugar divino, servicio súper amable y comida deliciosa","","No","Divino el lugar, la atención súper amable y la comida realmente deliciosa! Un sitio para repetir seguro"
412,"Jose Ramon Garcia","Local Guide · 80 reseñas · 8 fotos","Hace 5 años","","","Positivo","Carne madurada a la parrilla","Terraza muy agradable, carta moderna de mercado, carne madurada a la brasa sobresaliente","","No","Muy recomendable, en una terraza agradabilisima, con una carta moderna, con productos de mercado, destaca la carne madurada a la parrilla. Sin duda repetiré"
413,"Pablo Fuertes de Gilbert","6 reseñas","Hace 2 años","","","Positivo","Gin tonics","Comida espectacular y bien servida, gin tonics sensacionales, profesionalidad de Ney","","No","Un Equipazo de profesionales preocupadas por el cliente, una comida espectacular y bien servida, unos gin tonics sensacionales y Ney un crack!! El mejor sitio de Pozuelo!!"
414,"Álvaro","7 reseñas","Hace 4 años","","","Positivo","Platos de carta","Platos increíblemente buenos, atención inmejorable para ocasiones especiales","","Sí","Un sitio para volver y repetir! Platos increiblemente buenos y una atencion inmejorable. Totalmemte recomendado si quieres convertir cualquier cena en algo especial. ;)"
415,"Julián G","Local Guide · 57 reseñas · 33 fotos","Hace 1 año","Cena","40-50 €","Positivo","","Comida tremendamente buena","Precio algo elevado","No","Muy rica la comida. Un poco caro, pero estaba todo tremendamente bueno"
416,"Mar Z","9 reseñas · 8 fotos","Hace 1 año","","","Positivo","","Excelente comida y servicio muy atento por parte de Ney","","No","Muchas gracias Ney por la gran experiencia! Excelente comida y muy buen servicio"
417,"Carmen Hernandez","8 reseñas · 2 fotos","Hace 4 años","","","Positivo","","Comida de calidad y bien elaborada, atención exquisita","","No","Un lugar excelente para comer, todo está muy bueno, bien elaborado y de calidad.La atención exquisita, mis felicitaciones para todo el personal."
418,"Mónica","13 reseñas","Hace 3 años","Comida","50-60 €","Positivo","","Restaurante de referencia con sabores especiales y materia prima de calidad","","No","La Roca es un descubrimiento. Un sitio súper agradable. Muy buen servicio. Y lo mejor: la comida. Muy rica. Sabores muy especiales. Elaborados. Materia prima de calidad. Un restaurante de referente en Pozuelo"
419,"Estefanía Palacios","Local Guide · 89 reseñas · 2 fotos","Hace 3 años","","","Positivo","Platos recomendados","Asesoramiento perfecto y en su justa medida por parte de Ney, comedor acogedor","","No","Comida maravillosa gracias a la atención del equipo ,en especial a Ney que te asesora muy bien y en su justa medida para que tu experiencia sea única .sin duda diferente y recomendable, salón acogedor ."
420,"ROCIO MARTINEZ","4 reseñas","Hace 5 años","","","Positivo","Platos de autor","Elaboraciones exquisitas y originales, personal muy amable","","Sí","Muy recomendable . Todo riquísimo con unas elaboraciones exquisitas y originales, si además le sumas un servicio muy amable: Repetiremos seguro!"
421,"MAISON de QUALITÉ Agence Immobilière","13 reseñas · 1 foto","Hace 4 años","","","Positivo","","Calidad culinaria y servicio de alto standing","","Sí","La Cálida y el servicio van unidos. El disfrutar comiendo no tiene precio pero si además el trato es maravilloso, hay que resaltarlo. Muy recomendable. Por supuesto.que volveremos."
422,"Jose Angel Aciron","Local Guide · 52 reseñas · 12 fotos","Hace 1 año","","","Positivo","","Sitio predilecto para familias, buen ambiente y trato impecable","","No","El sitio favorito mío y de mi familia en la zona. Buen trato, buena comida y buen ambiente"
423,"Antonio Rueda","2 reseñas","Hace 4 años","Cena","30-40 €","Positivo","Tapitas para compartir","Tapitas para compartir riquísimas y buen trato de sala","","No","Muy buenas tapitas para compartir. Todo buenísimo y buen trato. No me ha defraudado la recomendación de mi mujer. La próxima en Boadilla. Vamosss."
424,"Tomas Calvo","Local Guide · 150 reseñas · 46 fotos","Hace 3 años","","","Positivo","","Comida y atención excelentes","Precio algo elevado (mínimo 30€/pax sin vino)","Sí","Excelente comida y atención. Es algo elevado de precio (al menos 30€ por persona sin vino) pero merece la pena"
425,"Carmen Gonzalez","Local Guide · 23 reseñas · 17 fotos","Hace 5 años","","","Positivo","","Platos ricos y bien presentados, amabilidad de los camareros y del propietario","","No","Camareros agradables y atentos, así como su propietario. Los platos bien presentados y muy ricos. Un lugar recomendable"
426,"IRATXE BEDATE PEREDA","4 reseñas · 1 foto","Hace 3 años","Comida","20-30 €","Positivo","","Comida muy buena y personal encantador","","No","La comida está muy buena y el personal es encantador. Se recomienda 100%"
427,"Catalina Bunge","2 reseñas","Hace 4 años","","","Positivo","","Comida deliciosa, atención cordial y excelente trato de Ney","","No","Comida riquísima, trato cordial y profesional siempre, en resumen, un lugar excelente y 100% recomendable. Pregunten por Ney y pasarán la mejor noche"
428,"Yolanda García","Local Guide · 45 reseñas · 26 fotos","Hace 2 años","Cena","30-40 €","Negativo","","Personal amable","Comida muy escasa, calidad justita y precios desorbitados","No","Comida muy escasa, con calidad justa y precio desorbitado. No repito. El personal amable sin más."
429,"ROSA BLANCO","10 reseñas","Hace 4 años","Comida","20-30 €","Positivo","","Cocina moderna muy rica con excelente presentación, camareros profesionales","","No","Exquisito, cocina moderna muy rica con una presentación estupenda. Los camareros muy profesionales y pendientes de todo."
430,"Alejandro Rogado de Quevedo","6 reseñas","Hace 4 años","","","Positivo","","Comida muy rica, servicio atento y rápido","","Sí","Espectacular. Comida muy rica, servicio increíble, atentos y rápidos. Muy bien"
431,"Luchin around the world","Local Guide · 48 reseñas · 25 fotos","Hace 2 años","","","Positivo","","Gran descubrimiento y referente en la zona","","No","Muy buena referencia. La verdad que un gran descubrimiento"
432,"Patricia Muñoz","1 reseña · 3 fotos","Hace 9 años","","","Positivo","Platos fríos y calientes, Sugerencias de cocina","Variedad de opciones y sugerencias, estupenda terraza de verano para picoteo","","No","La Roca, en Madrid, no defrauda, estupendo sitio para ir de tapas y/o cenar. Platos fríos y calientes además de carta y segerencias. Y en verano con terraza. 100% recomendable"
433,"Jorge Guillermo Bonicalzi Ruiz","Local Guide · 453 reseñas","Hace 6 años","","","Positivo","Platos familiares","Carta variada y sabrosa, atención excelente, apto para acudir con niños","","No","Muy rico todo. Excelente atención. Carta variada y sabrosa. Hasta los niños lo pasan bien."
434,"Dr. Rodolfo Aburto","5 reseñas","Hace 4 años","Cena","","Positivo","","Muy buen servicio, comida excelente y personal atento","","No","Muy buen servicio y la comida excelente. El personal es atento. Recomendable 100%"
435,"Daniel Yuste","4 reseñas · 1 foto","Hace 1 año","Cena","30-40 €","Positivo","","Comida muy interesante, local agradable y servicio excelente","","Sí","Lugar muy agradable, con un servicio excelente y una comida muy interesante. 100% recomendable."
436,"Santiago D.","Local Guide · 38 reseñas · 6 fotos","Hace 2 años","","","Positivo","","Comida increíble y servicio espectacular de 10/10","","No","La comida está increíble, pero es que lo del servicio es espectacular. Experiencia 10/10."
437,"José Luis Palomino Pina","Local Guide · 26 reseñas","Hace 2 años","Cena","40-50 €","Positivo","Raciones de tapeo, Platos de carta","Carta versátil (picoteo o cena formal), buen ritmo de platos y camareros atentos","","No","Un buen sitio para comer hay de todo ..para los que son de comer a base de raciones o los de galería una comida más seria..estuvo todo muy bien no esperamos mucho de un plato a otro y los camareros muy pendientes de todo.Un sitio agradable y que se come bien."
438,"Juan Luis Martín Ortega","2 reseñas","Hace 4 años","Cena","","Positivo","","Comida variada de nivel, muy buen servicio y terraza agradable","","No","Una comida excelente y variada. Muy buen servicio y muy agradable la terraza"
439,"Ainara Muñoz","6 reseñas","Hace 4 años","","","Positivo","","Comida riquísima y trato impecable en visitas recurrentes","","Sí","Hemos ido por segunda vez y todo riquísimo, ademas un trato muy bueno. Ya se ha convertido en un fijo."
440,"nueva plaza s.l.","1 reseña","Hace 1 año","","","Positivo","","Restaurante informal muy agradable con camareros de diez","","No","Restaurante informal super . agradable . Sobre todo un 10 a los camareros"
441,"David Seco","6 reseñas","Hace 1 año","Cena","40-50 €","Positivo","Menú de grupo","Comida espectacular y servicio de sala aún mejor para grupos grandes (12 comensales)","","No","Fuimos 12 personas y volveremos seguro. Comida espectacular y servicio mejor."
442,"Angel","9 reseñas · 3 fotos","Hace 3 años","Comida","40-50 €","Positivo","","Excelente carta y servicio","Carta tan amplia y atractiva que requiere varias visitas","No","Excelente carta y servicio. Solo falla que es imposible probarlo todo en una visita. Volveremos sin duda."
443,"David AC","Local Guide · 11 reseñas · 2 fotos","Hace 4 años","","","Positivo","","Comida muy sabrosa y atención inmejorable de 10","","No","Muy recomendable, muy rico todo!! Y a destacar el trato y la atención, de 10!! Enhorabuena por el personal, inmejorable."
444,"Rocio Sequeira Suardiaz","Local Guide · 61 reseñas","Hace 8 años","","","Positivo","Tapas delicatessen","Carta muy amplia, tapas delicatessen de autor y buen ambiente","","No","Sitio de tapas delicatessen. Lleva poco tiempo abierto y es todo un éxito en Pozuelo. El ambiente es muy bueno. La carta es muy amplia."
445,"Gabriela Salcedo","1 reseña","Hace 1 año","Cena","30-40 €","Positivo","","Comida deliciosa, local acogedor y asesoramiento inigualable de Ney","","Sí","El lugar es muy agradable; la comida deliciosa; la atención y la asesoría de Ney, inigualable."
446,"David M.","Local Guide · 143 reseñas · 16 fotos","Hace 3 años","","","Positivo","","Buen producto y buena técnica en cocina, servicio atento","Cantidades algo escuetas","No","A la tercera fue la vencida. Servicio atento. En cuanto a la comida, buen producto y bien elaborado. Las cantidades quizás un poco escuetas."
447,"Jose Campuzano","10 reseñas · 2 fotos","Hace 1 año","Cena","30-40 €","Positivo","Comida de mercado","Muy buena cocina de mercado y trato de sala excelente","","Sí","Fantástica experiencia. Muy buena comida de mercado y excelente trato"
448,"le maitre Asistencia al Evento","Local Guide · 26 reseñas · 1 foto","Hace 1 año","","","Mixto","Agua del grifo","Propuesta gastronómica divertida y ejecución impecable","Cobro abusivo de 3€ por servir agua del grifo","No","Una propuesta muy divertida y perfectamente ejecutada. Un pero: cobrar 3 € por agua de grifo"
449,"Cesar Zapata","3 reseñas","Hace 1 año","","1-10 €","Positivo","","Comida deliciosa, sitio agradable y atención excelente","","No","Un sitio muy agradable, exelente atención y se come muy delicioso.. 😜"
450,"Elena Requena","Local Guide · 88 reseñas · 24 fotos","Hace 4 años","Comida","","Positivo","Ensaladilla, Croquetas, Tortilla de Betanzos, Chipirones","Revisión moderna y sabrosa de platos clásicos de taberna","","Sí","Sitio clásico con una vuelta a platos tradicionales. Todo muy rico. Pedimos ensaladilla, croquetas, tortilla de Betanzos y los chipirones."
451,"Fernando R.","Local Guide · 17 reseñas","Hace 2 años","","20-30 €","Positivo","Tapas de autor","Excelente lugar para picoteo o cenas informales","","No","Buen sitio para cenar o tomar unas tapas, recomendable en todos los aspectos."
452,"Luciano Dopico","Local Guide · 60 reseñas · 68 fotos","Hace 1 año","Comida","","Positivo","Tartar de atún","Comida muy sabrosa, personal muy amable, tartar de atún excelente","","No","Personal muy amable y comida muy buena. El tartar de atún está buenísimo"
453,"Ignacio Muniz","1 reseña","Hace 1 año","Cena","","Positivo","","Atención, comida y servicio excelentes para repetir mil veces","","No","Excelente servicio, atención y comida. Para volver mil veces!"
454,"Kenrick Roudette","3 reseñas","Hace 4 años","","","Negativo","","Servicio amable","Precios excesivos para la calidad de producto ofrecida; experiencia por debajo de lo esperado","Sí","Precios excesivos para el producto que ofrece. Servicio amable pero esperaba más de este restaurante. No repetiremos."
455,"Eduardo Alvarez","Local Guide · 26 reseñas · 3 fotos","Hace 2 años","","","Positivo","","Comida de gran nivel, trato y atención insuperable de Ney","","No","Sitio de muy buen comer. La atención de Ney insuperable. Recomiendo 100%. Volveremos"
456,"Esther MB","Local Guide · 160 reseñas · 90 fotos","Hace 4 años","","","Negativo","","","Pérdida de la calidad original en la comida y relación calidad-precio desorbitada","Sí","Había estado en otra ocasión y me gustó bastante pero está última vez no, me he llevado una gran decepción, la comida parecía otra, no me gustó. Calidad/precio desorbitados 😞"
457,"Moises Pecos","Local Guide · 23 reseñas","Hace 4 años","","","Positivo","Tapas de cocina","Cocina muy bien elaborada y sabrosa","Tapas un poquitín pequeñas","No","La comida muy buena, un poquitin pequeñas las tapas pero muy bien cocinada, sin duda repetiremos"
458,"Sofia de cospedal","Local Guide · 52 reseñas · 47 fotos","Hace 5 años","","","Positivo","Cocina de mercado innovadora","Cocina de mercado exquisita con toques modernos, servicio inmejorable","","No","Cocina de mercado con toques innovadores .La comida es exquisita y el servicio inmejorable!! Nunca decepciona este lugar!! Recomendación siempre que vengas a Pozuelo/Aravaca!"
459,"Alberto Heras","Local Guide · 125 reseñas · 60 fotos","Hace 3 años","","","Positivo","Tapas y platos elaborados","Tapas originales, elaboradas, buen ambiente y gran trato","","No","Muy buen sitio para cenar tapas o platos originales y muy elaborados. Buen ambiente y buen trato"
460,"Ines Martinez","7 reseñas","Hace 3 años","","","Positivo","","Comida muy sabrosa, camareros amables y muy atentos","","No","Servicio muy bueno, los camareros muy amables y muy atentos de todo. Todo lo que hemos pedido estaba muy rico"
461,"Pablo Gonzalez","10 reseñas · 1 foto","Hace 4 años","Cena","30-40 €","Positivo","Ravioli de rabo de toro, Tapas de autor","Tapas originales y ricas; ravioli de rabo simplemente espectacular","","No","Me ha sorprendido y encantado. Las tapas muy originales y sabrosas. El ravioli de rabo simplemente espectacular."
462,"Patty Carrera","1 reseña","Hace 2 meses","","","Positivo","","Atención sobresaliente de Ney, Valentín y Nilmar","","No","Ney, Valentín y Nilmar los mejores!!!"
463,"Elena Estévez Vidal","Local Guide · 38 reseñas · 31 fotos","Hace 4 años","","","Positivo","Platos cocinados","Cocina excelente y buena atención de sala","Raciones algo justas de volumen","Sí","La atención buena y la cocinera muy buena, los platos están muy buenos, aunque las raciones son justitas, merece la pena visitarlo."
