Fecha reserva,Hora reserva,Nº personas,Estado reserva,Servicio,Canal,Comensal ref
23/08/2025,20:30,3,cancelada,cena,telefono,Cliente 4899
12/04/2025,15:00,3,no_show,cena,app,Cliente 4900
29/10/2025,13:30,7,cancelada,cena,app,Cliente 4901
29/05/2026,20:45,6,cancelada,cena,app,Cliente 4902
27/04/2026,15:15,6,confirmada,comida,web,Cliente 4903
08/01/2025,21:30,1,completada,comida,telefono,Cliente 4904
19/06/2025,22:30,5,completada,cena,telefono,Cliente 4905
24/02/2026,14:45,3,completada,comida,web,Cliente 4906
27/12/2025,23:30,8,completada,cena,walkin,Cliente 4907
30/05/2026,14:15,3,no_show,comida,web,Cliente 4908
10/07/2025,19:30,7,completada,cena,walkin,Cliente 4909
07/01/2026,23:45,8,no_show,cena,app,Cliente 4910
27/02/2025,19:45,6,confirmada,cena,web,Cliente 4911
29/12/2025,15:45,2,no_show,cena,telefono,Cliente 4912
05/05/2025,17:00,2,completada,cena,telefono,Cliente 4913
17/03/2025,23:45,7,no_show,comida,walkin,Cliente 4914
28/08/2025,17:30,2,cancelada,cena,app,Cliente 4915
23/03/2025,19:00,5,no_show,cena,web,Cliente 4916
19/03/2026,20:45,5,cancelada,cena,walkin,Cliente 4917
11/01/2025,17:00,5,no_show,cena,walkin,Cliente 4918
11/04/2026,18:45,3,completada,comida,telefono,Cliente 4919
13/12/2025,17:30,3,cancelada,comida,web,Cliente 4920
12/11/2025,18:45,1,confirmada,cena,web,Cliente 4921
11/02/2025,17:00,4,no_show,comida,app,Cliente 4922
12/03/2025,20:00,5,confirmada,cena,web,Cliente 4923
25/05/2026,20:15,5,completada,comida,app,Cliente 4924
27/11/2025,20:15,8,cancelada,comida,app,Cliente 4925
15/03/2026,22:30,6,completada,cena,telefono,Cliente 4926
05/02/2025,19:15,3,completada,comida,telefono,Cliente 4927
19/10/2025,14:00,3,cancelada,cena,walkin,Cliente 4928
12/03/2025,17:45,5,cancelada,comida,web,Cliente 4929
12/04/2026,21:00,3,completada,cena,web,Cliente 4930
03/12/2025,21:00,5,no_show,cena,telefono,Cliente 4931
05/01/2025,15:15,5,cancelada,comida,walkin,Cliente 4932
19/10/2025,16:45,3,confirmada,cena,app,Cliente 4933
05/05/2026,15:00,5,no_show,cena,telefono,Cliente 4934
04/12/2025,22:15,5,completada,cena,telefono,Cliente 4935
12/04/2025,13:30,6,confirmada,cena,app,Cliente 4936
28/09/2025,19:00,5,confirmada,comida,app,Cliente 4937
22/03/2025,22:45,3,cancelada,cena,web,Cliente 4938
25/01/2025,23:45,3,confirmada,comida,app,Cliente 4939
02/05/2026,21:15,3,no_show,cena,telefono,Cliente 4940
21/07/2025,21:30,7,no_show,cena,walkin,Cliente 4941
30/08/2025,17:15,8,confirmada,cena,telefono,Cliente 4942
12/01/2026,20:15,6,no_show,cena,walkin,Cliente 4943
22/01/2026,21:30,5,completada,cena,telefono,Cliente 4944
22/01/2026,22:15,7,no_show,comida,telefono,Cliente 4945
11/03/2026,16:15,8,no_show,cena,web,Cliente 4946
01/05/2026,18:15,3,cancelada,cena,telefono,Cliente 4947
13/05/2025,16:15,2,no_show,cena,web,Cliente 4948
18/12/2025,14:15,4,no_show,comida,web,Cliente 4949
25/05/2026,23:45,3,cancelada,comida,walkin,Cliente 4950
31/05/2025,14:30,6,confirmada,cena,walkin,Cliente 4951
24/01/2026,17:00,8,cancelada,cena,walkin,Cliente 4952
17/05/2026,21:00,7,no_show,comida,walkin,Cliente 4953
29/06/2026,17:00,1,confirmada,cena,telefono,Cliente 4954
17/04/2026,18:15,1,completada,cena,walkin,Cliente 4955
19/12/2025,23:00,8,no_show,cena,app,Cliente 4956
25/11/2025,14:15,4,completada,comida,app,Cliente 4957
10/03/2026,13:00,7,completada,cena,app,Cliente 4958
11/02/2026,13:30,2,completada,comida,web,Cliente 4959
02/05/2025,20:45,1,no_show,comida,walkin,Cliente 4960
07/12/2025,14:15,2,no_show,comida,app,Cliente 4961
21/05/2026,22:45,2,confirmada,comida,app,Cliente 4962
10/06/2026,16:45,5,completada,comida,telefono,Cliente 4963
06/10/2025,14:15,7,completada,cena,walkin,Cliente 4964
23/08/2025,14:00,5,cancelada,cena,app,Cliente 4965
02/04/2025,19:00,6,no_show,comida,walkin,Cliente 4966
23/03/2026,13:15,4,cancelada,comida,telefono,Cliente 4967
27/06/2026,15:15,8,cancelada,cena,web,Cliente 4968
30/12/2025,20:00,7,no_show,cena,web,Cliente 4969
24/05/2025,15:30,7,completada,cena,app,Cliente 4970
11/02/2026,21:15,7,confirmada,comida,walkin,Cliente 4971
21/07/2025,18:45,3,confirmada,comida,app,Cliente 4972
10/12/2025,23:45,7,completada,cena,walkin,Cliente 4973
16/02/2025,14:45,4,completada,comida,web,Cliente 4974
03/08/2025,22:45,5,cancelada,cena,telefono,Cliente 4975
12/06/2026,17:45,2,cancelada,cena,app,Cliente 4976
28/10/2025,21:45,2,confirmada,comida,telefono,Cliente 4977
16/12/2025,15:30,7,confirmada,cena,telefono,Cliente 4978
22/02/2025,14:30,2,completada,comida,walkin,Cliente 4979
09/04/2025,13:00,4,cancelada,cena,telefono,Cliente 4980
24/06/2026,18:15,4,completada,cena,web,Cliente 4981
14/04/2025,18:45,3,completada,comida,telefono,Cliente 4982
11/01/2025,17:45,4,completada,cena,app,Cliente 4983
22/03/2026,23:00,4,cancelada,comida,app,Cliente 4984
12/02/2025,21:00,6,no_show,cena,telefono,Cliente 4985
06/02/2026,15:00,7,completada,comida,web,Cliente 4986
28/08/2025,21:00,7,confirmada,cena,web,Cliente 4987
22/08/2025,13:45,3,no_show,comida,web,Cliente 4988
13/04/2026,20:00,1,completada,comida,walkin,Cliente 4989
27/07/2025,17:30,3,no_show,comida,walkin,Cliente 4990
12/01/2025,14:30,6,completada,comida,walkin,Cliente 4991
10/03/2026,16:15,1,confirmada,comida,web,Cliente 4992
20/04/2025,20:00,1,cancelada,cena,telefono,Cliente 4993
29/07/2025,14:15,8,completada,comida,app,Cliente 4994
02/07/2025,17:45,5,confirmada,cena,web,Cliente 4995
01/02/2026,21:30,3,no_show,comida,web,Cliente 4996
11/11/2025,16:15,5,no_show,comida,web,Cliente 4997
28/04/2026,14:30,5,confirmada,comida,telefono,Cliente 4998
18/04/2025,15:30,3,confirmada,cena,walkin,Cliente 4999
04/02/2025,16:30,5,no_show,cena,telefono,Cliente 5000
19/03/2025,20:45,8,completada,cena,walkin,Cliente 5001
20/02/2026,23:30,5,cancelada,comida,app,Cliente 5002
18/12/2025,17:45,8,no_show,cena,web,Cliente 5003
04/07/2025,23:45,2,no_show,cena,telefono,Cliente 5004
23/06/2026,21:30,4,no_show,comida,app,Cliente 5005
17/01/2026,16:00,1,confirmada,comida,app,Cliente 5006
17/04/2026,14:00,5,completada,cena,web,Cliente 5007
02/05/2026,18:15,2,cancelada,cena,telefono,Cliente 5008
26/04/2026,23:15,7,no_show,cena,web,Cliente 5009
20/05/2025,17:00,7,no_show,comida,app,Cliente 5010
07/02/2026,15:30,6,confirmada,comida,walkin,Cliente 5011
01/01/2026,20:45,7,cancelada,comida,app,Cliente 5012
09/05/2026,20:00,5,no_show,comida,app,Cliente 5013
31/05/2026,21:30,1,no_show,cena,app,Cliente 5014
20/04/2026,19:30,2,cancelada,comida,web,Cliente 5015
11/06/2025,15:45,2,completada,cena,web,Cliente 5016
22/04/2025,22:45,5,cancelada,cena,app,Cliente 5017
27/06/2026,15:45,3,cancelada,cena,walkin,Cliente 5018
12/05/2026,16:45,2,no_show,cena,telefono,Cliente 5019
21/11/2025,23:15,5,cancelada,cena,walkin,Cliente 5020
11/12/2025,15:30,8,completada,comida,telefono,Cliente 5021
25/01/2025,19:30,8,completada,comida,web,Cliente 5022
23/03/2025,15:45,2,confirmada,cena,walkin,Cliente 5023
14/05/2025,21:30,1,completada,comida,web,Cliente 5024
16/03/2025,16:00,8,confirmada,comida,walkin,Cliente 5025
12/01/2026,13:15,8,completada,cena,telefono,Cliente 5026
25/11/2025,22:15,6,no_show,cena,web,Cliente 5027
18/06/2025,22:00,3,completada,cena,app,Cliente 5028
28/03/2025,14:15,7,cancelada,cena,app,Cliente 5029
10/06/2026,13:30,5,confirmada,cena,walkin,Cliente 5030
23/04/2025,14:15,5,cancelada,comida,web,Cliente 5031
02/02/2026,20:30,6,cancelada,comida,web,Cliente 5032
12/05/2025,19:30,3,cancelada,cena,web,Cliente 5033
24/10/2025,13:30,1,cancelada,cena,walkin,Cliente 5034
13/09/2025,16:15,4,cancelada,cena,web,Cliente 5035
01/05/2026,16:45,8,cancelada,cena,telefono,Cliente 5036
07/02/2026,17:45,2,completada,comida,web,Cliente 5037
30/01/2026,19:15,7,confirmada,cena,telefono,Cliente 5038
19/06/2025,17:00,6,confirmada,comida,walkin,Cliente 5039
25/07/2025,20:45,1,no_show,cena,web,Cliente 5040
13/07/2025,22:30,5,completada,comida,walkin,Cliente 5041
01/04/2026,13:00,7,cancelada,cena,telefono,Cliente 5042
18/07/2025,20:45,3,cancelada,comida,app,Cliente 5043
17/09/2025,21:30,1,completada,comida,telefono,Cliente 5044
28/06/2026,23:45,4,confirmada,comida,app,Cliente 5045
06/06/2026,17:45,6,cancelada,cena,app,Cliente 5046
17/08/2025,21:00,7,completada,comida,telefono,Cliente 5047
31/05/2026,22:45,4,cancelada,comida,web,Cliente 5048
06/01/2025,13:30,5,completada,comida,app,Cliente 5049
03/06/2026,21:30,2,confirmada,cena,web,Cliente 5050
26/02/2026,22:30,3,completada,cena,telefono,Cliente 5051
19/06/2025,17:45,5,no_show,cena,app,Cliente 5052
06/06/2026,15:00,3,no_show,comida,telefono,Cliente 5053
17/03/2025,17:30,8,cancelada,comida,app,Cliente 5054
12/03/2026,13:00,1,no_show,comida,app,Cliente 5055
27/03/2026,18:15,3,no_show,comida,telefono,Cliente 5056
05/04/2025,22:30,1,no_show,comida,walkin,Cliente 5057
19/03/2025,16:15,4,confirmada,cena,app,Cliente 5058
22/04/2025,17:00,2,no_show,cena,walkin,Cliente 5059
25/06/2025,14:30,5,no_show,cena,web,Cliente 5060
15/02/2025,16:15,3,no_show,cena,telefono,Cliente 5061
31/05/2026,19:45,5,completada,cena,telefono,Cliente 5062
23/04/2025,19:30,2,completada,cena,app,Cliente 5063
21/06/2026,20:30,6,no_show,cena,telefono,Cliente 5064
07/08/2025,18:15,7,completada,comida,app,Cliente 5065
23/11/2025,23:45,7,confirmada,comida,web,Cliente 5066
20/04/2026,22:45,3,no_show,comida,web,Cliente 5067
09/10/2025,15:45,1,no_show,comida,app,Cliente 5068
27/05/2026,18:15,2,confirmada,cena,app,Cliente 5069
05/01/2026,13:45,5,no_show,cena,web,Cliente 5070
16/06/2026,22:30,3,completada,comida,telefono,Cliente 5071
13/09/2025,14:45,6,cancelada,cena,app,Cliente 5072
21/05/2026,23:45,2,no_show,comida,web,Cliente 5073
14/08/2025,19:00,3,completada,cena,telefono,Cliente 5074
13/05/2026,22:15,4,confirmada,cena,telefono,Cliente 5075
14/08/2025,16:30,4,cancelada,comida,walkin,Cliente 5076
13/10/2025,20:30,1,completada,cena,web,Cliente 5077
27/03/2025,23:15,1,completada,comida,walkin,Cliente 5078
28/08/2025,18:45,6,cancelada,comida,web,Cliente 5079
18/05/2025,18:45,1,no_show,comida,app,Cliente 5080
19/08/2025,22:45,8,cancelada,comida,web,Cliente 5081
03/06/2026,16:00,5,no_show,cena,walkin,Cliente 5082
16/04/2026,18:00,7,no_show,cena,app,Cliente 5083
17/09/2025,23:15,5,completada,comida,web,Cliente 5084
12/09/2025,20:00,3,no_show,comida,telefono,Cliente 5085
05/10/2025,14:30,2,no_show,cena,app,Cliente 5086
13/03/2025,20:00,5,no_show,comida,walkin,Cliente 5087
04/09/2025,18:30,2,cancelada,cena,telefono,Cliente 5088
07/03/2025,15:45,1,confirmada,comida,web,Cliente 5089
15/04/2026,21:00,5,no_show,cena,walkin,Cliente 5090
03/11/2025,20:00,8,cancelada,comida,telefono,Cliente 5091
07/06/2025,14:00,4,completada,cena,walkin,Cliente 5092
10/03/2026,20:00,1,cancelada,cena,telefono,Cliente 5093
16/04/2025,21:30,2,no_show,cena,app,Cliente 5094
18/10/2025,17:15,5,completada,comida,telefono,Cliente 5095
27/11/2025,14:45,7,no_show,comida,telefono,Cliente 5096
23/01/2026,23:30,8,cancelada,cena,web,Cliente 5097
17/12/2025,15:00,8,completada,comida,walkin,Cliente 5098
12/04/2025,16:45,6,cancelada,comida,walkin,Cliente 5099
03/03/2025,17:15,7,cancelada,comida,walkin,Cliente 5100
25/02/2026,21:15,8,confirmada,cena,web,Cliente 5101
23/10/2025,21:00,4,completada,comida,walkin,Cliente 5102
21/07/2025,13:00,2,cancelada,comida,walkin,Cliente 5103
30/06/2025,19:30,3,completada,comida,app,Cliente 5104
02/06/2026,16:00,1,confirmada,comida,web,Cliente 5105
17/09/2025,20:45,1,cancelada,comida,app,Cliente 5106
26/01/2025,17:15,1,confirmada,comida,telefono,Cliente 5107
11/09/2025,23:45,1,no_show,comida,walkin,Cliente 5108
07/03/2026,20:15,5,cancelada,comida,walkin,Cliente 5109
06/08/2025,17:00,5,no_show,comida,app,Cliente 5110
24/07/2025,13:30,4,confirmada,cena,web,Cliente 5111
30/03/2026,17:45,8,cancelada,comida,web,Cliente 5112
18/12/2025,22:00,3,cancelada,cena,app,Cliente 5113
01/05/2025,23:30,2,completada,comida,web,Cliente 5114
13/03/2026,17:45,7,cancelada,cena,web,Cliente 5115
18/10/2025,15:45,5,cancelada,comida,telefono,Cliente 5116
17/04/2026,19:45,7,cancelada,cena,walkin,Cliente 5117
20/11/2025,13:15,8,cancelada,comida,app,Cliente 5118
18/09/2025,15:00,2,no_show,cena,walkin,Cliente 5119
19/06/2025,17:45,1,confirmada,comida,walkin,Cliente 5120
10/06/2026,19:00,7,no_show,cena,walkin,Cliente 5121
15/09/2025,21:45,5,confirmada,cena,telefono,Cliente 5122
20/11/2025,22:30,1,confirmada,comida,web,Cliente 5123
29/08/2025,22:30,2,no_show,comida,web,Cliente 5124
01/04/2026,13:30,7,completada,cena,app,Cliente 5125
17/01/2025,13:45,6,confirmada,comida,telefono,Cliente 5126
22/10/2025,21:30,3,completada,cena,app,Cliente 5127
30/05/2026,15:30,5,cancelada,comida,walkin,Cliente 5128
01/01/2025,23:15,7,completada,comida,walkin,Cliente 5129
31/03/2025,14:00,1,confirmada,comida,app,Cliente 5130
17/05/2025,22:00,4,confirmada,comida,web,Cliente 5131
22/01/2025,21:00,5,no_show,cena,app,Cliente 5132
08/01/2026,15:45,3,no_show,comida,walkin,Cliente 5133
14/08/2025,21:30,6,confirmada,cena,telefono,Cliente 5134
15/02/2026,21:45,7,no_show,cena,walkin,Cliente 5135
27/02/2026,19:15,5,completada,comida,walkin,Cliente 5136
20/01/2025,19:00,4,no_show,cena,walkin,Cliente 5137
28/08/2025,13:00,2,completada,comida,app,Cliente 5138
20/12/2025,16:30,8,cancelada,comida,app,Cliente 5139
18/11/2025,21:00,6,no_show,cena,telefono,Cliente 5140
20/11/2025,23:15,5,completada,comida,web,Cliente 5141
23/02/2025,17:15,5,completada,cena,web,Cliente 5142
15/02/2025,15:45,5,cancelada,cena,telefono,Cliente 5143
23/01/2026,15:00,8,confirmada,comida,app,Cliente 5144
05/08/2025,14:30,8,completada,cena,app,Cliente 5145
15/01/2025,21:45,8,no_show,cena,telefono,Cliente 5146
22/05/2025,22:15,2,cancelada,comida,telefono,Cliente 5147
12/01/2025,14:15,1,confirmada,comida,web,Cliente 5148
01/04/2025,16:30,8,no_show,cena,telefono,Cliente 5149
05/03/2025,15:45,4,completada,comida,telefono,Cliente 5150
13/04/2026,20:45,8,confirmada,comida,telefono,Cliente 5151
28/03/2025,17:00,3,completada,cena,web,Cliente 5152
13/11/2025,18:30,6,completada,cena,walkin,Cliente 5153
11/05/2026,20:30,6,confirmada,comida,app,Cliente 5154
06/01/2025,13:45,2,no_show,cena,web,Cliente 5155
05/07/2025,15:00,5,completada,comida,telefono,Cliente 5156
02/03/2026,23:15,3,no_show,comida,app,Cliente 5157
28/02/2025,16:00,4,no_show,comida,web,Cliente 5158
19/12/2025,20:15,2,confirmada,cena,app,Cliente 5159
17/12/2025,19:00,7,cancelada,comida,web,Cliente 5160
14/09/2025,22:15,7,confirmada,cena,walkin,Cliente 5161
12/03/2025,19:45,7,cancelada,cena,app,Cliente 5162
29/07/2025,14:45,8,confirmada,cena,walkin,Cliente 5163
06/03/2025,21:30,2,confirmada,comida,telefono,Cliente 5164
09/07/2025,15:45,6,confirmada,comida,walkin,Cliente 5165
19/07/2025,19:00,2,cancelada,comida,web,Cliente 5166
01/03/2025,13:45,1,confirmada,comida,telefono,Cliente 5167
02/09/2025,14:15,8,confirmada,comida,walkin,Cliente 5168
20/05/2025,15:30,6,no_show,cena,app,Cliente 5169
29/11/2025,16:30,5,confirmada,comida,app,Cliente 5170
22/03/2026,13:15,8,no_show,cena,app,Cliente 5171
12/03/2026,14:45,5,confirmada,cena,walkin,Cliente 5172
31/03/2025,15:15,7,completada,comida,telefono,Cliente 5173
30/08/2025,22:15,8,completada,comida,telefono,Cliente 5174
22/08/2025,19:00,1,confirmada,comida,web,Cliente 5175
26/06/2025,21:30,3,confirmada,cena,walkin,Cliente 5176
22/09/2025,17:15,1,no_show,cena,web,Cliente 5177
18/08/2025,14:30,3,completada,cena,app,Cliente 5178
02/06/2026,16:45,8,completada,comida,web,Cliente 5179
14/02/2025,21:30,8,no_show,cena,telefono,Cliente 5180
28/05/2025,18:30,3,confirmada,cena,app,Cliente 5181
29/03/2026,17:45,7,cancelada,cena,web,Cliente 5182
04/04/2026,16:15,8,confirmada,comida,web,Cliente 5183
26/01/2026,21:00,8,confirmada,cena,web,Cliente 5184
08/06/2026,19:00,7,confirmada,cena,telefono,Cliente 5185
18/01/2025,20:00,2,confirmada,comida,web,Cliente 5186
27/02/2025,18:00,3,cancelada,comida,walkin,Cliente 5187
29/06/2026,17:45,4,cancelada,comida,walkin,Cliente 5188
07/08/2025,23:15,7,no_show,comida,telefono,Cliente 5189
10/08/2025,21:00,7,cancelada,cena,telefono,Cliente 5190
14/06/2026,20:00,8,completada,cena,web,Cliente 5191
27/01/2025,13:45,3,confirmada,comida,walkin,Cliente 5192
12/01/2025,18:15,5,confirmada,comida,app,Cliente 5193
05/12/2025,13:15,3,confirmada,comida,telefono,Cliente 5194
27/03/2026,17:45,3,cancelada,cena,walkin,Cliente 5195
27/10/2025,14:45,1,confirmada,comida,app,Cliente 5196
03/05/2025,22:45,7,completada,cena,web,Cliente 5197
15/02/2025,23:45,6,no_show,comida,walkin,Cliente 5198
15/03/2026,18:30,8,cancelada,comida,walkin,Cliente 5199
18/04/2025,19:30,4,completada,comida,walkin,Cliente 5200
06/01/2026,22:00,4,cancelada,cena,walkin,Cliente 5201
08/12/2025,20:00,2,no_show,comida,walkin,Cliente 5202
24/09/2025,19:00,6,no_show,comida,telefono,Cliente 5203
25/12/2025,13:30,6,cancelada,cena,web,Cliente 5204
27/11/2025,13:45,5,completada,cena,telefono,Cliente 5205
16/05/2026,14:15,6,confirmada,comida,walkin,Cliente 5206
20/06/2026,16:00,2,completada,comida,app,Cliente 5207
02/03/2025,14:45,7,confirmada,cena,telefono,Cliente 5208
09/09/2025,14:30,8,confirmada,cena,web,Cliente 5209
02/05/2025,13:45,7,cancelada,comida,app,Cliente 5210
13/08/2025,16:30,1,no_show,comida,app,Cliente 5211
23/05/2025,18:00,6,no_show,cena,app,Cliente 5212
19/02/2026,19:30,6,no_show,cena,walkin,Cliente 5213
19/02/2025,13:00,3,cancelada,comida,app,Cliente 5214
04/06/2025,15:15,3,confirmada,comida,web,Cliente 5215
14/11/2025,18:15,4,completada,cena,walkin,Cliente 5216
10/09/2025,13:45,3,completada,cena,walkin,Cliente 5217
14/05/2026,21:00,3,no_show,comida,telefono,Cliente 5218
14/09/2025,19:45,3,confirmada,cena,app,Cliente 5219
13/06/2026,16:45,2,cancelada,cena,telefono,Cliente 5220
10/10/2025,19:45,6,completada,comida,web,Cliente 5221
26/04/2026,22:00,7,cancelada,comida,telefono,Cliente 5222
06/07/2025,20:15,3,completada,cena,telefono,Cliente 5223
16/11/2025,23:00,4,cancelada,comida,web,Cliente 5224
11/07/2025,20:00,4,no_show,comida,telefono,Cliente 5225
17/01/2025,13:45,4,completada,cena,telefono,Cliente 5226
19/07/2025,17:00,6,no_show,comida,app,Cliente 5227
01/06/2025,15:00,4,confirmada,cena,walkin,Cliente 5228
22/01/2025,21:45,5,cancelada,comida,web,Cliente 5229
23/04/2026,21:30,5,completada,comida,app,Cliente 5230
14/01/2025,18:15,3,no_show,cena,app,Cliente 5231
28/07/2025,15:00,5,cancelada,comida,web,Cliente 5232
19/02/2025,19:00,6,completada,cena,telefono,Cliente 5233
15/10/2025,19:30,6,no_show,comida,app,Cliente 5234
07/08/2025,16:00,3,cancelada,comida,web,Cliente 5235
12/01/2026,17:45,5,confirmada,cena,walkin,Cliente 5236
21/01/2026,16:00,8,no_show,cena,telefono,Cliente 5237
23/01/2025,18:15,5,cancelada,comida,web,Cliente 5238
03/04/2025,19:15,4,confirmada,cena,app,Cliente 5239
05/11/2025,15:45,1,cancelada,comida,walkin,Cliente 5240
14/04/2026,16:30,1,cancelada,comida,web,Cliente 5241
27/04/2026,16:15,3,cancelada,comida,telefono,Cliente 5242
08/07/2025,13:15,7,no_show,comida,web,Cliente 5243
03/06/2026,18:45,4,completada,cena,telefono,Cliente 5244
20/06/2025,14:30,5,confirmada,cena,telefono,Cliente 5245
13/06/2026,18:45,3,confirmada,cena,app,Cliente 5246
13/12/2025,13:30,4,confirmada,cena,telefono,Cliente 5247
18/08/2025,21:00,2,confirmada,comida,app,Cliente 5248
23/07/2025,22:00,6,no_show,comida,web,Cliente 5249
14/01/2026,23:30,8,cancelada,cena,telefono,Cliente 5250
20/12/2025,22:45,6,completada,cena,telefono,Cliente 5251
19/08/2025,19:00,6,completada,cena,walkin,Cliente 5252
19/10/2025,13:00,2,confirmada,cena,telefono,Cliente 5253
28/01/2026,15:00,7,cancelada,comida,walkin,Cliente 5254
26/11/2025,20:45,3,no_show,cena,telefono,Cliente 5255
18/05/2026,20:45,3,completada,cena,telefono,Cliente 5256
14/04/2026,13:30,2,cancelada,comida,web,Cliente 5257
23/03/2025,16:15,1,no_show,comida,web,Cliente 5258
13/11/2025,19:00,3,confirmada,cena,web,Cliente 5259
26/06/2025,22:30,2,completada,comida,walkin,Cliente 5260
31/08/2025,23:45,4,cancelada,comida,telefono,Cliente 5261
10/02/2025,18:45,4,confirmada,comida,app,Cliente 5262
21/04/2025,21:45,1,cancelada,cena,web,Cliente 5263
19/02/2025,22:00,1,no_show,comida,app,Cliente 5264
23/09/2025,22:45,6,completada,cena,app,Cliente 5265
21/03/2025,23:45,5,confirmada,comida,web,Cliente 5266
06/04/2026,19:15,1,completada,comida,walkin,Cliente 5267
31/12/2025,18:45,8,confirmada,comida,web,Cliente 5268
07/04/2025,19:15,3,completada,cena,telefono,Cliente 5269
02/01/2025,19:15,4,no_show,comida,web,Cliente 5270
16/03/2026,15:45,6,cancelada,comida,walkin,Cliente 5271
21/06/2026,17:15,8,no_show,cena,web,Cliente 5272
07/01/2026,13:30,1,completada,comida,app,Cliente 5273
11/03/2025,23:15,8,completada,comida,app,Cliente 5274
18/06/2026,14:45,4,confirmada,cena,app,Cliente 5275
02/11/2025,15:00,1,confirmada,comida,app,Cliente 5276
19/01/2026,15:45,2,cancelada,cena,telefono,Cliente 5277
20/05/2025,19:45,8,no_show,comida,web,Cliente 5278
25/11/2025,17:00,4,completada,cena,app,Cliente 5279
16/04/2026,17:15,2,confirmada,comida,app,Cliente 5280
29/05/2026,13:45,8,cancelada,cena,app,Cliente 5281
02/05/2025,21:00,6,no_show,cena,app,Cliente 5282
20/10/2025,13:30,1,confirmada,comida,walkin,Cliente 5283
17/01/2026,15:30,8,completada,cena,telefono,Cliente 5284
29/05/2026,15:30,5,completada,comida,web,Cliente 5285
25/06/2025,13:00,3,no_show,cena,web,Cliente 5286
16/06/2026,14:45,8,cancelada,comida,app,Cliente 5287
15/12/2025,20:15,2,confirmada,cena,walkin,Cliente 5288
14/11/2025,23:30,2,completada,comida,telefono,Cliente 5289
06/12/2025,21:00,7,cancelada,cena,app,Cliente 5290
03/05/2026,19:00,4,completada,cena,app,Cliente 5291
16/03/2025,19:00,3,confirmada,comida,web,Cliente 5292
21/12/2025,14:15,3,confirmada,cena,web,Cliente 5293
22/01/2025,16:15,7,completada,comida,web,Cliente 5294
09/01/2025,19:00,6,no_show,cena,walkin,Cliente 5295
16/04/2025,13:45,7,completada,cena,walkin,Cliente 5296
04/11/2025,21:30,4,completada,cena,walkin,Cliente 5297
25/03/2025,15:30,8,confirmada,comida,telefono,Cliente 5298
17/02/2026,22:30,7,completada,cena,web,Cliente 5299
13/09/2025,14:00,6,completada,cena,app,Cliente 5300
29/08/2025,22:30,4,confirmada,comida,app,Cliente 5301
16/12/2025,22:45,3,confirmada,cena,web,Cliente 5302
11/05/2025,13:15,7,cancelada,comida,telefono,Cliente 5303
23/10/2025,23:15,6,completada,cena,telefono,Cliente 5304
06/04/2026,21:15,5,no_show,cena,telefono,Cliente 5305
12/05/2026,15:15,3,cancelada,comida,telefono,Cliente 5306
06/10/2025,21:15,1,cancelada,comida,web,Cliente 5307
06/11/2025,15:30,5,confirmada,comida,telefono,Cliente 5308
09/06/2025,18:30,5,confirmada,cena,telefono,Cliente 5309
19/03/2025,13:15,6,no_show,cena,web,Cliente 5310
18/08/2025,17:15,3,confirmada,cena,telefono,Cliente 5311
19/12/2025,13:45,1,confirmada,comida,walkin,Cliente 5312
25/01/2025,22:15,2,completada,cena,app,Cliente 5313
17/04/2025,15:15,1,confirmada,comida,walkin,Cliente 5314
27/06/2025,15:45,5,no_show,cena,web,Cliente 5315
30/06/2025,22:00,7,completada,cena,app,Cliente 5316
09/11/2025,18:00,6,cancelada,cena,web,Cliente 5317
11/04/2026,17:45,3,completada,cena,app,Cliente 5318
11/11/2025,21:00,3,confirmada,cena,telefono,Cliente 5319
07/04/2025,20:00,3,confirmada,cena,web,Cliente 5320
08/03/2026,15:15,6,cancelada,cena,web,Cliente 5321
13/12/2025,21:15,7,no_show,comida,telefono,Cliente 5322
27/01/2026,20:45,8,confirmada,cena,telefono,Cliente 5323
15/03/2025,19:45,4,cancelada,cena,app,Cliente 5324
25/02/2026,23:00,8,cancelada,comida,app,Cliente 5325
05/11/2025,18:30,2,no_show,comida,walkin,Cliente 5326
18/04/2025,22:45,1,no_show,cena,telefono,Cliente 5327
12/05/2025,21:30,5,no_show,cena,app,Cliente 5328
16/02/2025,18:30,5,no_show,cena,web,Cliente 5329
16/01/2026,17:30,8,confirmada,comida,web,Cliente 5330
05/06/2025,19:15,1,completada,comida,app,Cliente 5331
29/11/2025,23:45,6,confirmada,comida,walkin,Cliente 5332
04/06/2026,18:00,5,no_show,cena,telefono,Cliente 5333
23/01/2026,14:45,6,cancelada,cena,app,Cliente 5334
08/02/2026,18:15,8,cancelada,cena,walkin,Cliente 5335
18/11/2025,23:45,4,cancelada,cena,walkin,Cliente 5336
14/02/2026,23:00,5,completada,comida,app,Cliente 5337
27/03/2026,13:30,1,cancelada,comida,web,Cliente 5338
08/08/2025,13:15,8,cancelada,cena,web,Cliente 5339
27/04/2025,16:30,5,confirmada,comida,walkin,Cliente 5340
30/01/2025,13:15,7,completada,cena,telefono,Cliente 5341
05/04/2026,19:15,3,no_show,cena,walkin,Cliente 5342
26/02/2026,13:30,4,cancelada,comida,web,Cliente 5343
19/03/2025,15:45,4,completada,comida,telefono,Cliente 5344
07/09/2025,23:00,3,cancelada,comida,app,Cliente 5345
